drugName,avg_rating,total_reviews,positive_reviews_count,positive_pct
Silver Sulfadiazine,9.97,36,36,100.0
Drixoral Cold And Allergy,9.95,39,39,100.0
Dexbrompheniramine / Pseudoephedrine,9.95,38,38,100.0
Dramamine,9.59,27,27,100.0
Aspirin / Butalbital / Caffeine / Codeine,9.55,20,20,100.0
Stribild,9.48,61,58,95.1
Elocon,9.45,22,21,95.5
Cobicistat / Elvitegravir / Emtricitabine / Tenofovir,9.44,54,51,94.4
Dimenhydrinate,9.37,30,29,96.7
Triazolam,9.32,28,28,100.0
Erlotinib,9.32,22,21,95.5
Diethylpropion,9.31,85,82,96.5
Methadone Diskets,9.3,23,22,95.7
Chlorpheniramine / Hydrocodone,9.28,81,74,91.4
Campral,9.25,91,87,95.6
