condition,drugName,Total_Reviews,Avg_Rating,Median_Rating,Positive_Reviews,Neutral_Reviews,Negative_Reviews,Total_Useful_Votes,Avg_Useful_Votes,Avg_Review_Word_Count,Satisfaction_Rate_Pct
Birth Control,Etonogestrel,3314,5.81,6.0,1580,650,1084,21885,6.6,103.8,47.7
Birth Control,Ethinyl Estradiol / Norethindrone,2337,5.66,6.0,1130,373,834,17869,7.6,97.0,48.4
Birth Control,Nexplanon,2149,5.68,6.0,991,417,741,12823,6.0,105.3,46.1
Birth Control,Levonorgestrel,2129,7.06,8.0,1393,342,394,16614,7.8,112.3,65.4
Birth Control,Ethinyl Estradiol / Levonorgestrel,1600,5.9,6.0,785,317,498,11524,7.2,93.1,49.1
Birth Control,Ethinyl Estradiol / Norgestimate,1580,5.93,7.0,813,291,476,13305,8.4,92.0,51.5
Emergency Contraception,Levonorgestrel,1221,8.47,10.0,1027,61,133,15970,13.1,105.0,84.1
Weight Loss,Phentermine,1211,8.8,10.0,1085,76,50,39137,32.3,95.8,89.6
Birth Control,Implanon,1095,6.07,7.0,558,217,320,8749,8.0,100.7,51.0
Vaginal Yeast Infection,Miconazole,997,3.02,1.0,173,128,696,6288,6.3,82.8,17.4
Birth Control,Mirena,965,6.96,8.0,624,135,206,14059,14.6,107.2,64.7
Birth Control,Skyla,822,7.26,8.0,563,133,126,3096,3.8,118.9,68.5
Smoking Cessation,Varenicline,785,8.84,10.0,700,41,44,15134,19.3,94.4,89.2
Vaginal Yeast Infection,Tioconazole,706,4.48,3.0,246,105,355,4059,5.7,90.2,34.8
Obesity,Bupropion / Naltrexone,678,7.08,8.0,460,89,129,18246,26.9,96.8,67.8
Birth Control,Lo Loestrin Fe,667,6.05,7.0,363,95,209,6730,10.1,99.7,54.4
Obesity,Contrave,649,6.99,8.0,429,88,132,17352,26.7,96.5,66.1
Smoking Cessation,Chantix,633,8.88,10.0,573,20,40,12802,20.2,94.0,90.5
Birth Control,Ethinyl Estradiol / Etonogestrel,631,6.63,8.0,367,128,136,5598,8.9,101.7,58.2
Bowel Preparation,Magnesium Sulfate / Potassium Sulfate / Sodium Sulfate,625,7.56,8.0,465,76,84,9742,15.6,104.1,74.4
Birth Control,Nuvaring,620,6.74,8.0,368,130,122,5268,8.5,101.2,59.4
Birth Control,Copper,607,7.23,9.0,424,65,118,4689,7.7,114.1,69.9
Emergency Contraception,Plan B,601,8.66,10.0,516,28,57,7273,12.1,107.2,85.9
Bowel Preparation,Suprep Bowel Prep Kit,597,7.46,8.0,434,74,89,9328,15.6,105.8,72.7
Depression,Bupropion,549,7.36,8.0,398,63,88,31101,56.7,94.3,72.5
Birth Control,Drospirenone / Ethinyl Estradiol,522,5.96,7.0,266,97,159,4448,8.5,94.2,51.0
Acne,Isotretinoin,517,8.38,9.0,441,34,42,9588,18.5,108.7,85.3
Birth Control,Medroxyprogesterone,502,5.52,5.0,229,82,191,4086,8.1,101.9,45.6
Birth Control,Desogestrel / Ethinyl Estradiol,494,5.68,6.0,221,118,155,2880,5.8,87.5,44.7
Anxiety,Escitalopram,484,7.91,9.0,379,49,56,18227,37.7,99.6,78.3
Birth Control,Depo-Provera,479,5.45,5.0,213,80,186,3967,8.3,101.8,44.5
Insomnia,Zolpidem,477,7.31,9.0,332,60,85,10345,21.7,74.6,69.6
Depression,Sertraline,459,7.17,8.0,316,64,79,23596,51.4,94.0,68.8
Constipation,Bisacodyl,456,5.71,6.0,217,81,158,4434,9.7,94.6,47.6
Depression,Venlafaxine,437,6.48,8.0,271,59,107,13865,31.7,89.6,62.0
Birth Control,Sprintec,432,6.17,7.0,240,73,119,3619,8.4,90.4,55.6
Anxiety,Alprazolam,428,8.87,10.0,386,17,25,16493,38.5,75.9,90.2
Opiate Dependence,Buprenorphine / Naloxone,424,8.61,10.0,366,20,38,12822,30.2,92.8,86.3
Emergency Contraception,Plan B One-Step,424,8.71,10.0,369,22,33,8267,19.5,106.5,87.0
Depression,Pristiq,418,7.19,8.0,294,48,76,16265,38.9,92.4,70.3
Anxiety and Stress,Citalopram,417,7.69,9.0,323,48,46,25233,60.5,98.4,77.5
Depression,Desvenlafaxine,414,7.24,8.0,289,55,70,17115,41.3,92.0,69.8
ADHD,Lisdexamfetamine,407,7.63,9.0,307,49,51,12812,31.5,98.2,75.4
Anxiety,Buspirone,407,6.16,8.0,233,49,125,20364,50.0,88.4,57.2
Bipolar Disorde,Lamotrigine,406,8.28,9.0,340,28,38,18463,45.5,85.1,83.7
Bacterial Vaginitis,Metronidazole,401,7.05,8.0,262,75,64,4794,12.0,89.5,65.3
Acne,Adapalene / Benzoyl Peroxide,397,7.52,9.0,295,46,56,4322,10.9,98.8,74.3
Acne,Epiduo,394,7.33,9.0,282,46,66,4822,12.2,95.4,71.6
Anxiety,Clonazepam,392,8.61,10.0,349,14,29,15724,40.1,78.2,89.0
ADHD,Vyvanse,392,7.7,9.0,300,46,46,12701,32.4,98.0,76.5
ADHD,Methylphenidate,388,7.34,8.0,272,69,47,12436,32.1,93.0,70.1
Depression,Citalopram,388,7.57,9.0,290,47,51,15103,38.9,91.2,74.7
Weight Loss,Lorcaserin,387,7.92,9.0,300,28,59,21707,56.1,88.6,77.5
Abnormal Uterine Bleeding,Medroxyprogesterone,382,3.29,1.0,78,51,253,6298,16.5,97.7,20.4
Insomnia,Trazodone,382,6.85,9.0,253,38,91,20092,52.6,79.5,66.2
Weight Loss,Belviq,381,7.86,9.0,293,27,61,21440,56.3,88.9,76.9
Depression,Escitalopram,380,7.61,9.0,288,40,52,17440,45.9,89.3,75.8
Birth Control,Ethinyl Estradiol / Norelgestromin,373,6.72,8.0,240,50,83,3426,9.2,101.5,64.3
Anxiety,Lexapro,372,7.84,9.0,293,29,50,17326,46.6,99.0,78.8
Birth Control,Paragard,368,6.56,8.0,224,37,107,2907,7.9,110.4,60.9
Constipation,Dulcolax,365,5.72,6.0,174,65,126,4160,11.4,96.3,47.7
Acne,Doxycycline,361,7.44,8.0,266,47,48,5478,15.2,94.1,73.7
Pain,Tramadol,357,6.51,8.0,233,28,96,9907,27.8,67.7,65.3
ADHD,Amphetamine / Dextroamphetamine,353,8.0,9.0,289,32,32,11282,32.0,84.3,81.9
Opiate Dependence,Suboxone,348,9.05,10.0,316,17,15,12528,36.0,90.6,90.8
Depression,Vortioxetine,345,5.88,7.0,183,49,113,16305,47.3,92.6,53.0
Abnormal Uterine Bleeding,Depo-Provera,343,3.15,1.0,72,37,234,4770,13.9,99.1,21.0
Birth Control,Norethindrone,338,5.33,5.0,142,71,125,3721,11.0,92.1,42.0
Pain,Acetaminophen / Hydrocodone,332,7.98,9.0,266,40,26,8593,25.9,58.8,80.1
Migraine Prevention,Topiramate,331,6.14,7.0,180,59,92,7455,22.5,98.9,54.4
Depression,Duloxetine,328,6.55,8.0,198,47,83,16052,48.9,82.7,60.4
Birth Control,Microgestin Fe 1 / 20,323,5.75,6.0,155,60,108,2498,7.7,96.6,48.0
Acne,Accutane,321,8.4,9.0,271,21,29,7503,23.4,103.8,84.4
Hyperhidrosis,Aluminum Chloride Hexahydrate,320,8.96,10.0,290,11,19,2934,9.2,91.8,90.6
Urinary Tract Infection,Nitrofurantoin,318,4.82,4.0,127,38,153,5148,16.2,81.7,39.9
Anxiety,Hydroxyzine,315,5.68,7.0,165,41,109,12152,38.6,72.1,52.4
Depression,Vilazodone,315,6.43,8.0,185,47,83,15447,49.0,92.1,58.7
Obesity,Liraglutide,312,8.0,9.0,252,25,35,8032,25.7,93.4,80.8
Depression,Lexapro,306,7.46,8.0,229,31,46,16230,53.0,88.6,74.8
Obesity,Phentermine,304,8.69,9.0,270,22,12,7265,23.9,92.7,88.8
Depression,Cymbalta,303,6.32,8.0,174,44,85,13714,45.3,81.9,57.4
Depression,Fluoxetine,302,7.23,8.0,212,40,50,13458,44.6,90.2,70.2
Bipolar Disorde,Lamictal,300,8.28,9.0,248,24,28,16696,55.7,82.6,82.7
Anxiety,Lorazepam,299,8.33,9.0,249,22,28,11321,37.9,71.5,83.3
Bipolar Disorde,Quetiapine,294,7.23,8.0,208,38,48,7808,26.6,83.2,70.7
Generalized Anxiety Disorde,Escitalopram,287,8.16,9.0,234,25,28,12764,44.5,99.9,81.5
Insomnia,Ambien,286,7.3,9.0,199,37,50,8219,28.7,77.9,69.6
Depression,Viibryd,285,6.81,8.0,181,43,61,16036,56.3,94.8,63.5
Anxiety,Xanax,283,8.71,10.0,249,15,19,13722,48.5,80.2,88.0
Depression,Zoloft,281,7.28,8.0,204,29,48,23163,82.4,90.8,72.6
Pain,Oxycodone,281,8.86,9.0,254,21,6,12775,45.5,66.5,90.4
Bipolar Disorde,Lurasidone,277,6.87,8.0,184,27,66,12139,43.8,93.8,66.4
Abnormal Uterine Bleeding,Levonorgestrel,276,5.32,5.0,121,42,113,4023,14.6,104.2,43.8
Birth Control,Loestrin 24 Fe,276,6.52,7.0,160,62,54,2417,8.8,99.4,58.0
"Diabetes, Type 2",Liraglutide,270,7.72,9.0,207,26,37,7678,28.4,88.0,76.7
Bipolar Disorde,Latuda,270,6.82,8.0,178,30,62,12407,46.0,91.0,65.9
Erectile Dysfunction,Tadalafil,267,8.67,10.0,234,12,21,13095,49.0,77.9,87.6
Weight Loss,Bupropion / Naltrexone,267,6.32,7.0,154,42,71,5377,20.1,98.4,57.7
High Blood Pressure,Lisinopril,264,5.16,5.0,113,43,108,12489,47.3,70.7,42.8
"Hypogonadism, Male",Testosterone,264,7.45,9.0,193,35,36,9405,35.6,86.7,73.1
Weight Loss,Contrave,263,6.38,7.0,151,43,69,5305,20.2,101.0,57.4
Acne,Benzoyl Peroxide / Clindamycin,262,7.78,9.0,202,25,35,3180,12.1,90.9,77.1
Birth Control,Tri-Sprintec,257,6.18,7.0,139,46,72,2687,10.5,92.4,54.1
"Diabetes, Type 2",Victoza,255,7.98,9.0,205,22,28,7944,31.2,89.9,80.4
Weight Loss,Adipex-P,255,9.06,10.0,237,10,8,15450,60.6,95.5,92.9
Abnormal Uterine Bleeding,Mirena,254,5.22,5.0,104,43,107,3924,15.4,107.9,40.9
Obesity,Saxenda,250,7.83,9.0,195,24,31,6024,24.1,94.2,78.0
Weight Loss,Phentermine / Topiramate,249,7.85,9.0,195,23,31,10894,43.8,99.9,78.3
Pain,Acetaminophen / Oxycodone,249,8.55,9.0,222,10,17,6211,24.9,57.2,89.2
Depression,Trintellix,243,6.0,7.0,133,32,78,15004,61.7,87.3,54.7
Anxiety and Stress,Celexa,238,7.54,9.0,178,31,29,19661,82.6,95.9,74.8
Chlamydia Infection,Azithromycin,236,7.7,8.0,181,38,17,1801,7.6,92.3,76.7
Urinary Tract Infection,Sulfamethoxazole / Trimethoprim,236,4.89,4.0,85,43,108,3899,16.5,73.3,36.0
Erectile Dysfunction,Cialis,236,8.64,10.0,208,8,20,13290,56.3,80.0,88.1
Anxiety,Buspar,233,6.48,8.0,140,29,64,19859,85.2,83.3,60.1
Acne,Minocycline,232,6.39,7.0,132,42,58,2903,12.5,87.1,56.9
"Diabetes, Type 2",Dulaglutide,231,5.97,7.0,120,39,72,4235,18.3,92.7,51.9
Anxiety and Stress,Fluoxetine,231,7.64,9.0,174,27,30,17933,77.6,95.6,75.3
Depression,Wellbutrin,230,7.33,8.0,166,29,35,16736,72.8,91.2,72.2
Anxiety,Klonopin,229,8.68,10.0,206,7,16,13946,60.9,77.7,90.0
Acne,Tretinoin,228,7.88,9.0,178,23,27,5024,22.0,104.4,78.1
Migraine Prevention,Topamax,222,6.35,8.0,124,44,54,6655,30.0,96.4,55.9
"Diabetes, Type 2",Trulicity,221,5.81,7.0,112,36,73,4149,18.8,89.4,50.7
Depression,Celexa,221,7.36,8.0,162,26,33,12704,57.5,89.2,73.3
Birth Control,Ortho Evra,219,7.47,9.0,162,23,34,2737,12.5,100.4,74.0
Birth Control,Aviane,219,6.62,8.0,131,42,46,1780,8.1,91.3,59.8
Pain,Tapentadol,216,6.33,8.0,125,33,58,8521,39.4,82.8,57.9
Acne,Ethinyl Estradiol / Norgestimate,215,5.9,6.0,104,42,69,1947,9.1,102.4,48.4
Migraine,Sumatriptan,213,7.95,9.0,165,19,29,1885,8.8,86.6,77.5
ibromyalgia,Pregabalin,212,6.5,8.0,126,32,54,10427,49.2,83.7,59.4
Pain,Diclofenac,212,7.82,9.0,169,13,30,5166,24.4,70.0,79.7
Anxiety and Stress,Sertraline,212,7.46,9.0,159,21,32,8973,42.3,101.2,75.0
Birth Control,Apri,210,5.55,5.0,88,53,69,1348,6.4,86.5,41.9
Bacterial Infection,Clindamycin,210,5.66,6.0,98,45,67,5607,26.7,88.5,46.7
Birth Control,Liletta,209,5.95,6.0,100,55,54,779,3.7,111.8,47.8
Bacterial Infection,Metronidazole,208,6.45,7.0,117,52,39,2617,12.6,81.1,56.2
ibromyalgia,Savella,208,6.83,8.0,130,39,39,9392,45.2,94.3,62.5
Weight Loss,Qsymia,207,7.7,9.0,158,19,30,10891,52.6,100.4,76.3
Panic Disorde,Sertraline,206,7.93,9.0,162,23,21,8516,41.3,104.0,78.6
Depression,Mirtazapine,205,7.25,8.0,141,31,33,8938,43.6,89.3,68.8
Depression,Prozac,205,7.24,8.0,143,27,35,12184,59.4,89.0,69.8
Generalized Anxiety Disorde,Lexapro,205,8.32,9.0,173,17,15,11994,58.5,102.9,84.4
Anxiety,Diazepam,204,8.86,10.0,185,7,12,13103,64.2,75.6,90.7
ADHD,Atomoxetine,203,5.41,6.0,93,27,83,7162,35.3,91.4,45.8
Cough,Benzonatate,203,5.06,4.0,91,13,99,3798,18.7,54.2,44.8
Insomnia,Suvorexant,201,3.76,1.0,58,17,126,4804,23.9,84.9,28.9
ibromyalgia,Milnacipran,200,6.65,8.0,120,38,42,8890,44.4,92.4,60.0
Acne,Drospirenone / Ethinyl Estradiol,199,7.02,8.0,131,28,40,2937,14.8,104.0,65.8
Bipolar Disorde,Seroquel,198,7.14,8.0,138,25,35,6521,32.9,79.9,69.7
Hepatitis C,Harvoni,198,8.67,10.0,169,12,17,6372,32.2,83.6,85.4
Bowel Preparation,Polyethylene Glycol 3350 With Electrolytes,198,6.84,8.0,126,26,46,2915,14.7,89.8,63.6
ADHD,Strattera,197,5.51,6.0,96,25,76,6760,34.3,89.0,48.7
Hepatitis C,Ledipasvir / Sofosbuvir,195,8.87,10.0,174,9,12,5942,30.5,81.0,89.2
Birth Control,Lutera,195,6.58,8.0,116,38,41,1892,9.7,98.7,59.5
Anesthesia,Propofol,194,8.15,10.0,153,13,28,2879,14.8,80.9,78.9
Depression,Effexor,194,5.85,7.0,103,29,62,8126,41.9,92.1,53.1
Anxiety,Gabapentin,193,8.02,9.0,156,13,24,15729,81.5,95.2,80.8
"Diabetes, Type 2",Exenatide,192,7.2,8.0,130,29,33,4846,25.2,85.3,67.7
"Constipation, Chronic",Linaclotide,191,7.35,9.0,132,25,34,8402,44.0,94.0,69.1
Birth Control,Trinessa,191,6.27,7.0,102,43,46,1584,8.3,97.8,53.4
Insomnia,Quetiapine,191,7.93,9.0,152,20,19,7292,38.2,86.1,79.6
ADHD,Concerta,190,7.25,8.0,133,30,27,7645,40.2,94.6,70.0
ibromyalgia,Lyrica,189,6.6,8.0,111,35,43,10285,54.4,87.4,58.7
Insomnia,Belsomra,189,3.71,1.0,54,13,122,4615,24.4,85.7,28.6
Panic Disorde,Clonazepam,189,9.1,10.0,176,3,10,7171,37.9,87.1,93.1
Migraine Prevention,Amitriptyline,188,7.85,9.0,149,14,25,6182,32.9,86.9,79.3
Birth Control,Yaz,188,5.74,6.0,90,36,62,1862,9.9,93.6,47.9
mance Anxiety,Propranolol,187,9.67,10.0,184,3,0,6769,36.2,103.1,98.4
Pain,Hydromorphone,187,8.13,10.0,150,14,23,4045,21.6,67.7,80.2
Obesity,Lorcaserin,185,8.2,10.0,148,15,22,9796,53.0,85.4,80.0
"Constipation, Chronic",Linzess,184,7.3,9.0,126,23,35,8072,43.9,95.1,68.5
Insomnia,Temazepam,183,6.78,8.0,119,22,42,6091,33.3,71.0,65.0
Obesity,Belviq,181,7.99,10.0,140,16,25,9667,53.4,88.0,77.3
Birth Control,Ortho Tri-Cyclen Lo,179,6.59,8.0,109,36,34,1715,9.6,97.7,60.9
Muscle Spasm,Cyclobenzaprine,179,6.24,8.0,105,27,47,5743,32.1,59.6,58.7
